checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3.1-32B-Instruct,A_src-mot_mechanism,A,source-motivation,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.3287599,0.0004974999999999999,2.46e-05,10,Instruct
Olmo-3.1-32B-Instruct,A_src-mot_statistical,A,source-motivation,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.0733703,0.0001906,7.120000000000001e-05,10,Instruct
Olmo-3.1-32B-Instruct,B_env_none,B,environmental,inferential,medium,none,adversarial,0.0,0.8,0.2,0.0038938,0.0286497,0.0105155,10,Instruct
Olmo-3.1-32B-Instruct,B_env_stale-qual,B,environmental,inferential,medium,stale-quality,adversarial,0.2,0.8,0.0,0.0310962,0.0994385,0.030124,10,Instruct
Olmo-3.1-32B-Instruct,B_env_stale-time,B,environmental,inferential,medium,stale-time,adversarial,0.5,0.5,0.0,0.0546485,0.0485475,0.013829,10,Instruct
Olmo-3.1-32B-Instruct,B_no-cue_none,B,no-cue,none,none,none,adversarial,0.0,0.9,0.1,0.0030816,0.0445107,0.0043123,10,Instruct
Olmo-3.1-32B-Instruct,B_no-cue_stale-qual,B,no-cue,none,none,stale-quality,adversarial,0.8,0.2,0.0,0.06286610000000001,0.013300299999999998,0.0021662,10,Instruct
Olmo-3.1-32B-Instruct,B_no-cue_stale-time,B,no-cue,none,none,stale-time,adversarial,1.0,0.0,0.0,0.07645880000000001,0.007943599999999999,0.0008699999999999999,10,Instruct
Olmo-3.1-32B-Instruct,B_skr-cap_none,B,seeker-capacity,inferential,medium,none,adversarial,0.1,0.8,0.1,0.0032394,0.0337926,0.005951,10,Instruct
Olmo-3.1-32B-Instruct,B_skr-cap_stale-qual,B,seeker-capacity,inferential,medium,stale-quality,adversarial,1.0,0.0,0.0,0.10502929999999999,0.0167466,0.005265000000000001,10,Instruct
