checkpoint,cell_id,slice,locus,specificity,dosage,prior,goal_condition,maintain_rate,defer_rate,unsure_rate,prob_truth_mean,prob_other_mean,prob_unsure_mean,count,checkpoint_label
Olmo-3.1-32B-Instruct,D_cooperate_stale-time,D,no-cue,none,none,stale-time,cooperate,1.0,0.0,0.0,0.19770876,2.438e-05,1.1429999999999999e-05,100,Instruct
Olmo-3.1-32B-Instruct-DPO,A_env_behavioral,A,environmental,behavioral,medium,fresh,adversarial,0.88,0.11,0.0,0.14950194,0.03041918,0.0031764799999999998,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_direct,A,environmental,direct,medium,fresh,adversarial,0.5,0.5,0.0,0.06646043,0.09355195,0.00425592,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_inferential,A,environmental,inferential,medium,fresh,adversarial,0.4,0.6,0.0,0.05561894,0.09396115999999999,0.005604759999999999,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_mechanism,A,environmental,mechanism,medium,fresh,adversarial,0.86,0.14,0.0,0.17335574,0.056132980000000006,0.00099368,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_env_statistical,A,environmental,statistical,medium,fresh,adversarial,0.83,0.17,0.0,0.14898928,0.053013149999999995,0.0057003,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_no-cue,A,no-cue,none,none,fresh,adversarial,0.98,0.02,0.0,0.19932675,0.00824807,0.00016785000000000001,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_behavioral,A,seeker-capacity,behavioral,medium,fresh,adversarial,0.95,0.05,0.0,0.09910403000000001,0.019376459999999998,0.00383998,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_direct,A,seeker-capacity,direct,medium,fresh,adversarial,0.97,0.02,0.0,0.13956663,0.02161821,0.0014676700000000001,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_inferential,A,seeker-capacity,inferential,medium,fresh,adversarial,0.99,0.01,0.0,0.14824952,0.01364256,0.0013694,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_mechanism,A,seeker-capacity,mechanism,medium,fresh,adversarial,0.99,0.01,0.0,0.05580686,0.00838067,0.00038039,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_skr-cap_statistical,A,seeker-capacity,statistical,medium,fresh,adversarial,0.88,0.12,0.0,0.13884522,0.048879580000000006,0.0018914300000000002,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_behavioral,A,source-capacity,behavioral,medium,fresh,adversarial,0.94,0.06,0.0,0.07287237,0.01383684,0.0026260100000000002,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_direct,A,source-capacity,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.19663882000000002,0.00010041,1.625e-05,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_inferential,A,source-capacity,inferential,medium,fresh,adversarial,1.0,0.0,0.0,0.14557375,0.00859367,0.00031072,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_mechanism,A,source-capacity,mechanism,medium,fresh,adversarial,0.99,0.01,0.0,0.13273377,0.01119472,0.00042073,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-cap_statistical,A,source-capacity,statistical,medium,fresh,adversarial,0.99,0.0,0.0,0.09266846,0.0008385199999999999,0.00010691,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_behavioral,A,source-motivation,behavioral,medium,fresh,adversarial,1.0,0.0,0.0,0.09045038999999999,0.00614295,0.0018299100000000001,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_direct,A,source-motivation,direct,medium,fresh,adversarial,1.0,0.0,0.0,0.30764527,3.141e-05,4.63e-06,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_inferential,A,source-motivation,inferential,medium,fresh,adversarial,0.59,0.41,0.0,0.07147251,0.06779896,0.00077801,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_mechanism,A,source-motivation,mechanism,medium,fresh,adversarial,1.0,0.0,0.0,0.24296879000000002,0.00196408,6.89e-05,100,DPO
Olmo-3.1-32B-Instruct-DPO,A_src-mot_statistical,A,source-motivation,statistical,medium,fresh,adversarial,1.0,0.0,0.0,0.08000555999999999,0.00042109,8.262e-05,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_env_none,B,environmental,inferential,medium,none,adversarial,0.08,0.67,0.25,0.005814059999999999,0.042703809999999995,0.01320228,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_env_stale-qual,B,environmental,inferential,medium,stale-quality,adversarial,0.53,0.46,0.01,0.0482765,0.06815851,0.02031356,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_env_stale-time,B,environmental,inferential,medium,stale-time,adversarial,0.63,0.37,0.0,0.053146820000000004,0.03948071,0.012795,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_no-cue_none,B,no-cue,none,none,none,adversarial,0.03,0.91,0.06,0.00274938,0.04963502,0.00395477,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_no-cue_stale-qual,B,no-cue,none,none,stale-quality,adversarial,0.81,0.19,0.0,0.06634704,0.015068630000000001,0.0026210499999999998,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_no-cue_stale-time,B,no-cue,none,none,stale-time,adversarial,0.97,0.03,0.0,0.11342321,0.008419069999999999,0.00059809,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_skr-cap_none,B,seeker-capacity,inferential,medium,none,adversarial,0.2,0.61,0.17,0.00700017,0.037104319999999996,0.0078783,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_skr-cap_stale-qual,B,seeker-capacity,inferential,medium,stale-quality,adversarial,0.78,0.22,0.0,0.08298403,0.02406753,0.00599861,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_skr-cap_stale-time,B,seeker-capacity,inferential,medium,stale-time,adversarial,0.99,0.01,0.0,0.13177123999999998,0.00728823,0.0025369900000000003,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-cap_none,B,source-capacity,inferential,medium,none,adversarial,0.14,0.77,0.07,0.01052086,0.07193342999999999,0.014667190000000002,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-cap_stale-qual,B,source-capacity,inferential,medium,stale-quality,adversarial,0.97,0.03,0.0,0.07857301,0.01931741,0.00496567,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-cap_stale-time,B,source-capacity,inferential,medium,stale-time,adversarial,0.98,0.02,0.0,0.08362122,0.00723985,0.00114371,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-mot_none,B,source-motivation,inferential,medium,none,adversarial,0.03,0.95,0.02,0.005311430000000001,0.07862944,0.00842008,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-mot_stale-qual,B,source-motivation,inferential,medium,stale-quality,adversarial,0.5,0.5,0.0,0.03931458,0.05102234,0.00269156,100,DPO
Olmo-3.1-32B-Instruct-DPO,B_src-mot_stale-time,B,source-motivation,inferential,medium,stale-time,adversarial,0.46,0.54,0.0,0.034577949999999996,0.05675031,0.0010775,100,DPO
Olmo-3.1-32B-Instruct-DPO,C_env_stat_strong,C,environmental,statistical,strong,fresh,adversarial,0.78,0.22,0.0,0.19940427,0.061970489999999996,0.0048613400000000005,100,DPO
Olmo-3.1-32B-Instruct-DPO,C_env_stat_weak,C,environmental,statistical,weak,fresh,adversarial,0.88,0.12,0.0,0.16429322,0.046983899999999995,0.00272031,100,DPO
Olmo-3.1-32B-Instruct-DPO,C_skr-cap_stat_strong,C,seeker-capacity,statistical,strong,fresh,adversarial,0.65,0.34,0.0,0.11937621999999999,0.07051053,0.0043973400000000004,100,DPO
Olmo-3.1-32B-Instruct-DPO,C_skr-cap_stat_weak,C,seeker-capacity,statistical,weak,fresh,adversarial,0.93,0.06,0.0,0.18266601999999998,0.042792079999999996,0.00054008,100,DPO
