pair,scenario,condition,class,turn,agent,logprob_diff
v0.2×v0.3,wallet,ignorance_deceive,mia_strategy,0,1,-2.917327880859375
v0.3×v0.2,wallet,ignorance_deceive,mia_strategy,0,1,-1.952890396118164
v0.3×v0.3,wallet,ignorance_deceive,mia_strategy,0,1,-1.9535903930664062
v0.2×v0.2,key,ignorance_help,mia_strategy,0,1,-0.15324974060058594
v0.2×v0.3,key,ignorance_help,mia_strategy,0,1,-0.15324974060058594
v0.3×v0.2,key,ignorance_help,mia_strategy,0,1,-0.24675989151000977
v0.3×v0.3,key,ignorance_help,mia_strategy,0,1,-0.24675989151000977
v0.2×v0.2,pkg,ignorance_help,mia_strategy,0,1,0.15208101272583008
v0.2×v0.3,pkg,ignorance_help,mia_strategy,0,1,0.15208101272583008
v0.3×v0.2,pkg,ignorance_help,mia_strategy,0,1,-0.3308134078979492
v0.3×v0.3,pkg,ignorance_help,mia_strategy,0,1,-0.3308134078979492
v0.2×v0.2,wallet,ignorance_help,mia_strategy,0,1,-0.05685567855834961
v0.2×v0.3,wallet,ignorance_help,mia_strategy,0,1,-0.05685567855834961
v0.3×v0.2,wallet,ignorance_help,mia_strategy,0,1,-0.3594350814819336
v0.3×v0.3,wallet,ignorance_help,mia_strategy,0,1,-0.3594350814819336
v0.2×v0.2,key,shared_deceive,mia_strategy,0,1,-2.871185779571533
v0.2×v0.3,key,shared_deceive,mia_strategy,0,1,-2.871185779571533
v0.3×v0.2,key,shared_deceive,mia_strategy,0,1,-1.9248790740966797
v0.3×v0.3,key,shared_deceive,mia_strategy,0,1,-1.9248790740966797
v0.2×v0.2,pkg,shared_deceive,mia_strategy,0,1,-2.813448905944824
v0.2×v0.3,pkg,shared_deceive,mia_strategy,0,1,-2.813448905944824
v0.3×v0.2,pkg,shared_deceive,mia_strategy,0,1,-2.0975728034973145
v0.3×v0.3,pkg,shared_deceive,mia_strategy,0,1,-2.0975728034973145
v0.2×v0.2,wallet,shared_deceive,mia_strategy,0,1,-2.917327880859375
v0.2×v0.3,wallet,shared_deceive,mia_strategy,0,1,-2.917327880859375
v0.3×v0.3,wallet,shared_deceive,mia_strategy,0,1,-1.9535903930664062
v0.2×v0.2,key,shared_help,mia_strategy,0,1,-0.15324974060058594
v0.2×v0.3,key,shared_help,mia_strategy,0,1,-0.15324974060058594
v0.3×v0.2,key,shared_help,mia_strategy,0,1,-0.24675989151000977
v0.3×v0.3,key,shared_help,mia_strategy,0,1,-0.24675989151000977
v0.2×v0.3,pkg,shared_help,mia_strategy,0,1,0.15181970596313477
v0.3×v0.2,pkg,shared_help,mia_strategy,0,1,-0.3308134078979492
v0.3×v0.3,pkg,shared_help,mia_strategy,0,1,-0.3308134078979492
v0.2×v0.2,wallet,shared_help,mia_strategy,0,1,-0.05685567855834961
v0.2×v0.3,wallet,shared_help,mia_strategy,0,1,-0.05685567855834961
v0.3×v0.2,wallet,shared_help,mia_strategy,0,1,-0.3594350814819336
v0.3×v0.3,wallet,shared_help,mia_strategy,0,1,-0.3594350814819336
v0.2×v0.2,key,false_deceive,mia_think_location,0,1,0.1238715648651123
v0.2×v0.3,key,false_deceive,mia_think_location,0,1,0.1238715648651123
v0.3×v0.2,key,false_deceive,mia_think_location,0,1,0.6872467994689941
v0.3×v0.3,key,false_deceive,mia_think_location,0,1,0.6872467994689941
v0.2×v0.2,pkg,false_deceive,mia_think_location,0,1,-1.0560171604156494
v0.2×v0.3,pkg,false_deceive,mia_think_location,0,1,-1.0560171604156494
v0.3×v0.2,pkg,false_deceive,mia_think_location,0,1,0.07842135429382324
v0.3×v0.3,pkg,false_deceive,mia_think_location,0,1,0.07842135429382324
v0.2×v0.2,wallet,false_deceive,mia_think_location,0,1,-0.3123664855957031
v0.2×v0.3,wallet,false_deceive,mia_think_location,0,1,-0.3123664855957031
v0.3×v0.2,wallet,false_deceive,mia_think_location,0,1,0.5083575248718262
v0.3×v0.3,wallet,false_deceive,mia_think_location,0,1,0.5083575248718262
v0.2×v0.2,key,false_help,mia_think_location,0,1,1.253023624420166
v0.2×v0.3,key,false_help,mia_think_location,0,1,1.2535438537597656
v0.3×v0.2,key,false_help,mia_think_location,0,1,0.9508316516876221
v0.3×v0.3,key,false_help,mia_think_location,0,1,0.9508316516876221
v0.2×v0.3,pkg,false_help,mia_think_location,0,1,1.1023001670837402
v0.3×v0.2,pkg,false_help,mia_think_location,0,1,0.8365421295166016
v0.3×v0.3,pkg,false_help,mia_think_location,0,1,0.8371419906616211
v0.2×v0.3,wallet,false_help,mia_think_location,0,1,0.6712298393249512
v0.3×v0.2,wallet,false_help,mia_think_location,0,1,0.6073093414306641
v0.3×v0.3,wallet,false_help,mia_think_location,0,1,0.6073093414306641
v0.2×v0.2,key,ignorance_deceive,mia_think_location,0,1,0.1238715648651123
v0.2×v0.3,key,ignorance_deceive,mia_think_location,0,1,0.13872885704040527
v0.3×v0.2,key,ignorance_deceive,mia_think_location,0,1,0.6872467994689941
v0.3×v0.3,key,ignorance_deceive,mia_think_location,0,1,0.6872467994689941
v0.2×v0.3,pkg,ignorance_deceive,mia_think_location,0,1,-1.0560171604156494
v0.3×v0.2,pkg,ignorance_deceive,mia_think_location,0,1,0.07842135429382324
v0.3×v0.3,pkg,ignorance_deceive,mia_think_location,0,1,0.07842135429382324
v0.2×v0.2,wallet,ignorance_deceive,mia_think_location,0,1,-0.3125791549682617
