pair,scenario,condition,class,turn,agent,logprob_diff
v0.2×v0.2,key,shared_help,mia_strategy,0,1,-0.22561931610107422
v0.2×v0.3,key,shared_help,mia_strategy,0,1,-0.22561931610107422
v0.3×v0.2,key,shared_help,mia_strategy,0,1,-0.3256969451904297
v0.3×v0.3,key,shared_help,mia_strategy,0,1,-0.3256969451904297
v0.2×v0.3,pkg,shared_help,mia_strategy,0,1,0.49510908126831055
v0.3×v0.2,pkg,shared_help,mia_strategy,0,1,-0.29146385192871094
v0.3×v0.3,pkg,shared_help,mia_strategy,0,1,-0.29146385192871094
v0.2×v0.2,wallet,shared_help,mia_strategy,0,1,0.10049915313720703
v0.2×v0.3,wallet,shared_help,mia_strategy,0,1,0.10049915313720703
v0.3×v0.2,wallet,shared_help,mia_strategy,0,1,-0.3782358169555664
v0.3×v0.3,wallet,shared_help,mia_strategy,0,1,-0.3782358169555664
v0.2×v0.2,key,false_deceive,mia_think_location,0,1,0.22002601623535156
v0.2×v0.3,key,false_deceive,mia_think_location,0,1,0.22002601623535156
v0.3×v0.2,key,false_deceive,mia_think_location,0,1,0.7601733207702637
v0.3×v0.3,key,false_deceive,mia_think_location,0,1,0.7601733207702637
v0.2×v0.2,pkg,false_deceive,mia_think_location,0,1,-1.5789098739624023
v0.2×v0.3,pkg,false_deceive,mia_think_location,0,1,-1.5789098739624023
v0.3×v0.2,pkg,false_deceive,mia_think_location,0,1,0.1792435646057129
v0.3×v0.3,pkg,false_deceive,mia_think_location,0,1,0.1792435646057129
v0.2×v0.2,wallet,false_deceive,mia_think_location,0,1,-0.44960498809814453
v0.2×v0.3,wallet,false_deceive,mia_think_location,0,1,-0.44960498809814453
v0.3×v0.2,wallet,false_deceive,mia_think_location,0,1,0.46886348724365234
v0.3×v0.3,wallet,false_deceive,mia_think_location,0,1,0.46886348724365234
v0.2×v0.2,key,false_help,mia_think_location,0,1,2.1402945518493652
v0.2×v0.3,key,false_help,mia_think_location,0,1,2.140334129333496
v0.3×v0.2,key,false_help,mia_think_location,0,1,1.4073328971862793
v0.3×v0.3,key,false_help,mia_think_location,0,1,1.4073328971862793
v0.2×v0.3,pkg,false_help,mia_think_location,0,1,2.0224995613098145
