checkpoint_label,question_id,n_obs,mean_flip,mean_shift,mean_shift_norm,mean_t2_conf,mean_t4_prob_correct,domain
Base,q0179,4,0.75,-0.056999249999999946,-0.8451768125965344,0.068054,0.01105475,miscellaneous
Base,q0180,1,0.0,-0.033753,-0.9035980082454356,0.037354,0.003601,global_facts
Base,q0183,3,0.0,-0.028503333333333335,-0.6664963039975086,0.040446,0.011942666666666666,miscellaneous
Base,q0185,17,0.4117647058823529,-0.060451058823529386,-0.8869044689482577,0.06805770588235294,0.0076066470588235305,high_school_world_history
Base,q0186,4,0.5,-0.05415375,-0.7403312710100207,0.074463,0.02030925,high_school_physics
Base,q0187,12,0.4166666666666667,-0.14997841666666664,-0.732376039446586,0.20385725,0.05387883333333334,college_biology
Base,q0188,17,0.11764705882352941,-0.08539364705882352,-0.8402123932625881,0.10113170588235294,0.01573805882352941,world_religions
Base,q0189,19,0.2631578947368421,-0.056184578947368384,-0.5454653377501577,0.10156252631578948,0.04537794736842105,high_school_chemistry
Base,q0191,19,0.15789473684210525,-0.12348857894736841,-0.7528967680566434,0.16192957894736842,0.038441,prehistory
Base,q0194,18,0.2222222222222222,-0.17555694444444442,-0.8474613488963392,0.20800788888888888,0.03245094444444444,prehistory
Base,q0196,10,0.1,-0.031439099999999956,-0.4633518664304937,0.067456,0.036016900000000004,miscellaneous
Base,q0198,18,0.0,-0.25610166666666667,-0.944003364592888,0.2712672222222222,0.015165555555555555,jurisprudence
Base,q0199,7,0.42857142857142855,-0.06545599999999999,-0.8005225366801894,0.08314728571428572,0.017691285714285715,philosophy
Base,q0200,2,0.0,-0.052276500000000004,-0.9150606522081605,0.057129,0.0048525,global_facts
Base,q0201,10,0.1,-0.10705569999999998,-0.7358352513330108,0.14350580000000002,0.0364501,prehistory
Base,q0203,14,0.0,-0.14979349999999997,-0.7950040751259279,0.18819757142857144,0.03840407142857143,anatomy
Base,q0208,19,0.0,-0.0820214736842105,-0.7705118891748388,0.10427357894736843,0.022252105263157896,nutrition
Base,q0209,19,0.05263157894736842,-0.1168083684210526,-0.6837070086209446,0.17125826315789472,0.05444989473684211,miscellaneous
Base,q0210,19,0.10526315789473684,-0.08891863157894736,-0.7500281766867845,0.11862668421052631,0.029708052631578948,miscellaneous
Base,q0211,16,0.25,-0.0853073125,-0.8888061185809049,0.09532175,0.0100144375,world_religions
Base,q0214,6,0.3333333333333333,-0.05784366666666666,-0.9008180522755751,0.064087,0.006243333333333333,global_facts
Base,q0215,10,0.0,-0.042443999999999996,-0.5355294326426105,0.0772462,0.0348022,high_school_world_history
Base,q0216,14,0.0,-0.02714321428571428,-0.41779679040966916,0.061610571428571424,0.03446735714285714,world_religions
Base,q0217,1,0.0,-0.061096,-0.8286450562864505,0.07373,0.012634,global_facts
Base,q0218,19,0.05263157894736842,-0.23210084210526316,-0.8331390948431863,0.2766243157894737,0.04452347368421052,jurisprudence
Base,q0220,10,0.3,-0.04308869999999998,-0.8601964884840456,0.0495852,0.0064965,nutrition
Base,q0222,19,0.21052631578947367,-0.055933,-0.8228593819152862,0.06883473684210527,0.012901736842105263,nutrition
Base,q0223,14,0.35714285714285715,-0.16275892857142857,-0.8580945262811728,0.19238285714285716,0.02962392857142857,high_school_geography
Base,q0224,5,0.6,-0.06468519999999997,-0.9151247888366895,0.071875,0.0071898000000000005,high_school_geography
Base,q0225,14,0.07142857142857142,-0.05989092857142857,-0.8629004516653825,0.06952792857142857,0.009637000000000001,nutrition
Base,q0226,5,0.0,-0.08140819999999997,-0.7931013579503656,0.10292939999999999,0.0215212,miscellaneous
Base,q0227,19,0.0,-0.016007368421052635,-0.32490166822346317,0.16694089473684212,0.15093352631578946,conceptual_physics
Base,q0229,18,0.0,-0.1337787222222222,-0.8600255659941137,0.15505644444444444,0.021277722222222222,miscellaneous
