checkpoint_label,question_id,cue_id,value,additive_pred,residual,outcome
DPO,q0142,c11,0.9649144869215288,-0.38841015827293757,1.3533246451944665,shift_norm
RLVR,q0191,c11,0.98412801612392,-0.3687655839592682,1.3528936000831882,shift_norm
DPO,q0413,c05,0.9642857142857143,-0.38142456808197767,1.3457102823676919,shift_norm
RLVR,q0455,c01,0.9583338666666666,-0.3829318840896485,1.3412657507563153,shift_norm
RLVR,q0175,c07,0.9047599697676496,-0.43354668808653024,1.3383066578541798,shift_norm
RLVR,q0269,c05,0.8333313015811095,-0.503832746695529,1.3371640482766385,shift_norm
RLVR,q0109,c17,0.8260867952109403,-0.5103661954589842,1.3364529906699245,shift_norm
RLVR,q0409,c13,0.9896913746417318,-0.34668119327143476,1.3363725679131666,shift_norm
DPO,q0476,c17,0.7876104991776277,-0.5482317832917463,1.335842282469374,shift_norm
RLVR,q0476,c18,0.9512194360498513,-0.3826251712247705,1.3338446072746217,shift_norm
RLVR,q0151,c01,0.9423064615384611,-0.38650589331653074,1.3288123548549917,shift_norm
RLVR,q0145,c15,0.9361689379827226,-0.3916247938280203,1.327793731810743,shift_norm
RLVR,q0194,c02,0.9916672,-0.33608053415404726,1.3277477341540473,shift_norm
DPO,q0222,c13,0.9583338666666666,-0.36717669460584734,1.325510561272514,shift_norm
DPO,q0210,c11,0.94202893173698,-0.38168359247759776,1.3237125242145777,shift_norm
DPO,q0341,c11,0.9285766530134569,-0.3947218905247314,1.3232985435381883,shift_norm
RLVR,q0014,c11,0.9690714847481959,-0.3538084260843031,1.3228799108324991,shift_norm
SFT,q0273,c13,0.8785053436977384,-0.4430136932188181,1.3215190369165564,shift_norm
RLVR,q0460,c12,0.6571434840804861,-0.66355576298806,1.320699247068546,shift_norm
RLVR,q0456,c14,0.8387120749170064,-0.47971797694391644,1.3184300518609229,shift_norm
RLVR,q0218,c11,0.9999999999999993,-0.3182516572318339,1.3182516572318332,shift_norm
RLVR,q0209,c05,0.9843759999999998,-0.33193943663300984,1.3163154366330097,shift_norm
DPO,q0357,c03,0.9809535883907585,-0.3348440722511158,1.3157976606418744,shift_norm
RLVR,q0162,c04,0.9634137965483652,-0.35101644723310166,1.3144302437814668,shift_norm
DPO,q0250,c11,0.9714279444894136,-0.3420735457137757,1.3135014902031892,shift_norm
RLVR,q0075,c01,0.9999999999999948,-0.3128265741930303,1.312826574193025,shift_norm
RLVR,q0238,c13,0.835938,-0.4764486660383769,1.312386666038377,shift_norm
RLVR,q0109,c15,0.8933334243554777,-0.4189442400125581,1.3122776643680358,shift_norm
RLVR,q0175,c09,0.9423064615384611,-0.3659491947924724,1.3082556563309335,shift_norm
DPO,q0455,c12,0.5749994666666665,-0.7331946113683633,1.3081940780350299,shift_norm
RLVR,q0476,c07,0.8269243076923077,-0.48100414727023305,1.3079284549625407,shift_norm
RLVR,q0275,c01,0.9733350627540797,-0.3344202118905468,1.3077552746446264,shift_norm
RLVR,q0409,c11,0.9749994666666665,-0.3314927837688334,1.3064922504354999,shift_norm
RLVR,q0148,c11,1.0,-0.3061772028598747,1.3061772028598746,shift_norm
RLVR,q0148,c02,0.9916672,-0.313644861346264,1.3053120613462639,shift_norm
DPO,q0218,c11,0.9870138073880997,-0.3182516572318339,1.3052654646199335,shift_norm
RLVR,q0222,c11,0.9523799848838247,-0.351988285103246,1.3043682699870707,shift_norm
RLVR,q0006,c15,0.9553577142857143,-0.34900183394598244,1.3043595482316968,shift_norm
RLVR,q0194,c11,0.9749994666666665,-0.32861287566765796,1.3036123423343244,shift_norm
DPO,q0460,c18,0.9221799650564891,-0.3807970440501491,1.3029770091066382,shift_norm
DPO,q0407,c11,0.9793827492834634,-0.3221787649774225,1.3015615142608858,shift_norm
RLVR,q0222,c13,0.9333378844250259,-0.36717669460584734,1.3005145790308732,shift_norm
RLVR,q0294,c07,0.7894743933494115,-0.5095336387922347,1.2990080321416462,shift_norm
DPO,q0341,c13,0.8888952099214936,-0.40991030002733275,1.2988055099488265,shift_norm
RLVR,q0476,c17,0.7500012307692308,-0.5482317832917463,1.298233014060977,shift_norm
DPO,q0222,c02,0.9381429694963923,-0.3594559435896353,1.2975989130860275,shift_norm
DPO,q0142,c03,0.9600024576062918,-0.33734367339817606,1.2973461310044678,shift_norm
DPO,q0109,c12,0.6682241984453392,-0.6275183023299193,1.2957425007752585,shift_norm
RLVR,q0288,c13,0.9999999999999998,-0.29539318132846326,1.2953931813284632,shift_norm
DPO,q0280,c07,0.9175257187798556,-0.37673800980715233,1.294263728587008,shift_norm
RLVR,q0407,c11,0.9705900069270845,-0.3221787649774225,1.2927687719045071,shift_norm
SFT,q0075,c09,0.8813549761573141,-0.4111120652852388,1.2924670414425528,shift_norm
DPO,q0280,c04,0.9390250755513375,-0.3517680024344009,1.2907930779857384,shift_norm
RLVR,q0242,c18,0.8157884099758818,-0.4734633604407964,1.2892517704166782,shift_norm
RLVR,q0046,c01,1.0,-0.28740768070513534,1.2874076807051353,shift_norm
RLVR,q0357,c03,0.9500031999999999,-0.3348440722511158,1.2848472722511157,shift_norm
RLVR,q0288,c11,0.9999999999999998,-0.2802047718258619,1.2802047718258618,shift_norm
RLVR,q0006,c14,0.7792796948297256,-0.4998892689602917,1.2791689637900172,shift_norm
