checkpoint_label,question_id,n_cues
SFT,q0086,16
SFT,q0087,19
SFT,q0090,1
SFT,q0091,19
SFT,q0092,18
SFT,q0095,5
SFT,q0096,15
SFT,q0097,2
SFT,q0098,15
SFT,q0100,11
SFT,q0101,9
SFT,q0104,4
SFT,q0105,1
SFT,q0106,15
SFT,q0107,7
SFT,q0108,1
SFT,q0109,19
SFT,q0110,19
SFT,q0112,18
SFT,q0113,2
SFT,q0114,18
SFT,q0115,12
SFT,q0118,17
SFT,q0119,9
SFT,q0121,15
SFT,q0122,3
SFT,q0123,14
SFT,q0124,15
SFT,q0125,8
SFT,q0129,19
SFT,q0130,5
SFT,q0131,17
SFT,q0132,3
SFT,q0133,14
SFT,q0134,9
SFT,q0135,6
SFT,q0136,14
SFT,q0137,8
SFT,q0138,17
SFT,q0139,11
SFT,q0140,19
SFT,q0141,3
SFT,q0142,18
SFT,q0143,6
SFT,q0144,1
SFT,q0145,18
SFT,q0146,4
SFT,q0148,19
SFT,q0149,7
SFT,q0150,12
SFT,q0151,19
SFT,q0152,6
SFT,q0153,19
SFT,q0154,10
SFT,q0155,3
SFT,q0157,5
SFT,q0159,18
SFT,q0160,10
SFT,q0161,15
SFT,q0162,18
SFT,q0164,11
SFT,q0165,19
SFT,q0166,1
SFT,q0167,10
SFT,q0169,16
SFT,q0170,5
SFT,q0171,1
SFT,q0172,2
SFT,q0175,19
SFT,q0176,4
SFT,q0179,4
SFT,q0180,1
SFT,q0183,3
SFT,q0185,17
SFT,q0186,4
SFT,q0187,12
SFT,q0188,17
SFT,q0189,19
SFT,q0191,19
SFT,q0194,18
SFT,q0196,10
SFT,q0198,18
SFT,q0199,7
SFT,q0200,2
SFT,q0201,10
SFT,q0203,14
SFT,q0208,19
SFT,q0209,19
SFT,q0210,19
SFT,q0211,16
SFT,q0214,6
SFT,q0215,10
SFT,q0216,14
SFT,q0217,1
SFT,q0218,19
SFT,q0220,10
SFT,q0222,19
SFT,q0223,14
SFT,q0224,5
SFT,q0225,14
SFT,q0226,5
SFT,q0227,19
SFT,q0229,18
SFT,q0230,18
SFT,q0231,9
SFT,q0232,15
SFT,q0233,15
SFT,q0235,4
SFT,q0236,7
SFT,q0237,18
SFT,q0238,19
SFT,q0239,17
SFT,q0242,18
SFT,q0243,19
SFT,q0245,11
SFT,q0247,9
SFT,q0248,14
SFT,q0250,19
SFT,q0252,7
SFT,q0253,11
SFT,q0254,1
SFT,q0255,14
SFT,q0256,8
SFT,q0258,16
SFT,q0259,14
SFT,q0260,4
SFT,q0261,1
SFT,q0263,10
SFT,q0264,6
SFT,q0265,2
SFT,q0266,1
SFT,q0267,2
SFT,q0268,8
SFT,q0269,19
SFT,q0270,7
SFT,q0271,18
SFT,q0273,19
SFT,q0274,17
SFT,q0275,19
SFT,q0276,12
SFT,q0279,8
SFT,q0280,18
SFT,q0283,13
SFT,q0285,3
SFT,q0286,10
SFT,q0287,9
SFT,q0288,19
SFT,q0289,6
SFT,q0290,7
SFT,q0291,7
SFT,q0292,2
SFT,q0293,11
SFT,q0294,18
SFT,q0295,6
SFT,q0298,18
SFT,q0300,1
SFT,q0302,19
SFT,q0304,17
SFT,q0305,4
SFT,q0306,6
SFT,q0311,12
SFT,q0312,18
SFT,q0315,3
SFT,q0316,15
SFT,q0318,14
SFT,q0319,2
SFT,q0320,13
SFT,q0321,7
SFT,q0325,18
SFT,q0326,15
SFT,q0327,12
SFT,q0331,8
SFT,q0333,7
SFT,q0334,14
SFT,q0337,16
SFT,q0338,19
SFT,q0339,4
SFT,q0341,19
SFT,q0344,7
SFT,q0345,16
SFT,q0346,9
SFT,q0347,6
SFT,q0348,10
SFT,q0349,19
SFT,q0351,19
SFT,q0353,1
SFT,q0354,1
SFT,q0355,1
SFT,q0356,1
SFT,q0357,18
SFT,q0358,14
SFT,q0359,15
SFT,q0361,6
SFT,q0362,18
SFT,q0363,3
SFT,q0364,6
SFT,q0365,5
SFT,q0366,7
SFT,q0368,16
SFT,q0369,19
SFT,q0370,8
SFT,q0371,15
SFT,q0372,19
SFT,q0373,2
SFT,q0374,3
SFT,q0376,5
SFT,q0377,12
SFT,q0380,8
SFT,q0381,1
SFT,q0383,10
SFT,q0384,15
SFT,q0385,5
SFT,q0386,1
SFT,q0387,4
SFT,q0388,15
SFT,q0390,7
SFT,q0392,8
SFT,q0393,7
SFT,q0394,8
SFT,q0395,19
SFT,q0397,10
SFT,q0398,19
SFT,q0399,3
SFT,q0403,19
SFT,q0404,19
SFT,q0406,19
SFT,q0407,19
SFT,q0408,11
SFT,q0409,18
SFT,q0411,16
SFT,q0412,17
SFT,q0413,19
SFT,q0414,17
SFT,q0415,13
SFT,q0416,13
SFT,q0419,8
SFT,q0420,19
SFT,q0421,11
SFT,q0422,6
SFT,q0423,9
SFT,q0424,1
SFT,q0426,3
SFT,q0427,17
SFT,q0428,19
SFT,q0429,18
SFT,q0430,15
SFT,q0431,11
SFT,q0432,19
SFT,q0434,5
